Row Labels,Sum of SalesAmount
Adriana Gonzalez,13242.7
France,13242.7
Hydration Pack - 70 oz.,54.99
2013,54.99
"Mountain-200 Silver, 46",2319.99
2013,2319.99
Road Bottle Cage,8.99
2013,8.99
"Road-150 Red, 44",3578.27
2011,3578.27
"Road-250 Red, 58",2443.35
2013,2443.35
"Sport-100 Helmet, Blue",34.99
2013,34.99
Touring Tire,28.99
2013,28.99
Touring Tire Tube,4.99
2013,4.99
"Touring-1000 Blue, 50",2384.07
2013,2384.07
"Touring-1000 Yellow, 46",2384.07
2013,2384.07
Brad She,13173.19
France,13173.19
"Half-Finger Gloves, S",24.49
2013,24.49
Mountain Bottle Cage,9.99
2013,9.99
"Mountain-200 Black, 46",2294.99
2013,2294.99
Road Bottle Cage,8.99
2013,8.99
"Road-150 Red, 62",3578.27
2011,3578.27
"Road-250 Black, 52",2443.35
2013,2443.35
"Sport-100 Helmet, Blue",34.99
2013,34.99
"Touring-1000 Blue, 60",2384.07
2013,2384.07
"Touring-1000 Yellow, 50",2384.07
2013,2384.07
Water Bottle - 30 oz.,9.98
2013,9.98
Brandi Gill,13195.64
France,13195.64
AWC Logo Cap,8.99
2012,8.99
Bike Wash - Dissolver,7.95
2013,7.95
Mountain Bottle Cage,9.99
2013,9.99
"Mountain-200 Black, 42",2294.99
2013,2294.99
Road Bottle Cage,8.99
2013,8.99
"Road-150 Red, 56",3578.27
2011,3578.27
"Road-250 Black, 52",2443.35
2013,2443.35
"Sport-100 Helmet, Blue",69.98
2012,34.99
2013,34.99
"Touring-1000 Yellow, 50",2384.07
2012,2384.07
"Touring-1000 Yellow, 54",2384.07
2013,2384.07
Water Bottle - 30 oz.,4.99
2013,4.99
Jordan Turner,15999.0996
France,11200.7696
AWC Logo Cap,8.99
2013,8.99
Fender Set - Mountain,21.98
2013,21.98
"Mountain-200 Silver, 42",2319.99
2013,2319.99
"Mountain-200 Silver, 46",2071.4196
2012,2071.4196
"Mountain-500 Black, 48",539.99
2013,539.99
Road Bottle Cage,8.99
2013,8.99
"Road-750 Black, 44",539.99
2013,539.99
"Sport-100 Helmet, Black",34.99
2013,34.99
"Sport-100 Helmet, Blue",69.98
2013,69.98
"Sport-100 Helmet, Red",34.99
2013,34.99
Touring Tire,28.99
2013,28.99
Touring Tire Tube,4.99
2013,4.99
"Touring-1000 Blue, 50",2384.07
2013,2384.07
"Touring-1000 Yellow, 46",2384.07
2013,2384.07
"Touring-3000 Blue, 62",742.35
2013,742.35
Water Bottle - 30 oz.,4.99
2013,4.99
United States,4798.33
"Mountain-200 Silver, 42",2319.99
2013,2319.99
"Road-250 Red, 44",2443.35
2012,2443.35
"Sport-100 Helmet, Black",34.99
2013,34.99
Kaitlyn Henderson,13294.27
France,13294.27
HL Road Tire,32.6
2012,32.6
Hydration Pack - 70 oz.,54.99
2013,54.99
"Mountain-200 Black, 42",2294.99
2013,2294.99
Road Bottle Cage,8.99
2013,8.99
Road Tire Tube,3.99
2012,3.99
"Road-150 Red, 62",3578.27
2011,3578.27
"Road-250 Red, 58",2443.35
2012,2443.35
"Sport-100 Helmet, Black",34.99
2013,34.99
"Sport-100 Helmet, Red",34.99
2012,34.99
Touring Tire,28.99
2013,28.99
Touring Tire Tube,4.99
2013,4.99
"Touring-1000 Yellow, 46",4768.14
2013,4768.14
Water Bottle - 30 oz.,4.99
2013,4.99
Margaret He,13269.27
France,13269.27
AWC Logo Cap,8.99
2013,8.99
"Half-Finger Gloves, L",24.49
2013,24.49
"Half-Finger Gloves, S",24.49
2013,24.49
HL Road Tire,32.6
2013,32.6
Mountain Bottle Cage,9.99
2013,9.99
"Mountain-200 Black, 38",2294.99
2013,2294.99
Road Bottle Cage,8.99
2013,8.99
"Road-150 Red, 56",3578.27
2011,3578.27
"Road-250 Black, 52",2443.35
2013,2443.35
"Sport-100 Helmet, Black",34.99
2013,34.99
"Sport-100 Helmet, Blue",34.99
2013,34.99
"Touring-1000 Blue, 50",2384.07
2013,2384.07
"Touring-1000 Yellow, 50",2384.07
2013,2384.07
Water Bottle - 30 oz.,4.99
2013,4.99
Nichole Nara,13295.38
France,13295.38
"Half-Finger Gloves, L",24.49
2013,24.49
HL Road Tire,32.6
2013,32.6
"Long-Sleeve Logo Jersey, M",49.99
2013,49.99
"Mountain-200 Silver, 46",2319.99
2013,2319.99
Patch Kit/8 Patches,4.58
2013,4.58
Road Tire Tube,3.99
2013,3.99
"Road-150 Red, 48",3578.27
2011,3578.27
"Road-250 Black, 52",2443.35
2013,2443.35
"Sport-100 Helmet, Black",34.99
2013,34.99
"Sport-100 Helmet, Red",34.99
2013,34.99
"Touring-1000 Yellow, 46",4768.14
2013,4768.14
Randall Dominguez,13265.99
France,13265.99
"Long-Sleeve Logo Jersey, L",49.99
2013,49.99
"Mountain-200 Silver, 38",2319.99
2013,2319.99
Patch Kit/8 Patches,2.29
2013,2.29
"Road-150 Red, 44",3578.27
2011,3578.27
"Road-250 Black, 44",2443.35
2013,2443.35
"Sport-100 Helmet, Blue",34.99
2013,34.99
"Sport-100 Helmet, Red",34.99
2013,34.99
Touring Tire,28.99
2013,28.99
Touring Tire Tube,4.99
2013,4.99
